asdasdas,
asdasdasd,
adasdasdasd,
ddddddd,Indonesia
CCCCCCCCcccc,taiwan
Macho Man,Indonesia
Merah Darah ku,Indonesia
Putih tulang ku,Indonesia
Merah darah ku,Indonesia
Player 1,
L_Z_N,Indonesia
Player uno,
Pace Papua,Indonesia
Katy Perry,
Taufik_Rhex,Indonesia
Wakakaka,Indonesia
Ming Ming,Indonesia
PeachSkye,Indonesia
Clone_K,Thailand
Julleus,
Mishima Thug,
GarnetComp,Indonesia
Jadey_182,
raijin_wrath,Thailand
Jangchoun,Indonesia
Jangchoon,Indonesia
Dentgea,Malaysia
Chakrit,
lazypotato,Indonesia
aknott,
save by queen valie,Indonesia
biransei,Indonesia
H.,
the Genetic Outcast,
hide771,
loll,
kelvin2teo,
Jujur & Berani,Indonesia
Ubebe,Indonesia
Bobo112,Thailand
The End of Evangelion,Indonesia
AnnaMolly,
Nemesis,
Kejedot Dindsing,Indonesia
fakhry adly,
Anti 3 Bar,Indonesia
DSHA,
OSHA,
RezaSungkar8PSN,
Ikstev,PH
JzBlade,
Digger nick,
PMA,
Wolfmanbell,Thailand
SystemOG,
Sourotoko,Indonesia
nurpokpok,Indonesia
eclipse,Indonesia
Rem & Katsura Fighting Firms Co. ,Indonesia
ShinJin,
COmmander,
..,
mad-,
TK_Isada,
lan94,Singapore
Mickey Minnie and Goofy,
Ivon,
Kudramkill,
DarkShado no13,TH
Shin,Singapore
GeneralGoods,
Hadron,
Canka,Indonesia
Kurie,
Vendread,
Khrys,
Darkshadow_KS,
Pick Proper Hero Thanks,
Xilit 47,
Kudram,
Mikasa Ackerman,
Rikkael,
Dah,
Main Character Nina Trash,
Uehara Ai,Indonesia
Assassin24,
SHAHRK,
PoreVengeance,
Lim Chu Kang Void Deck,
SbyRazor,
HotPheres,
Darkness Hides Secret,
One Day I walk into the Forest,
Ieenie Xim,
Jeanie Xim,
Edelgard,Indonesia
Definitely Not Heihachi,Brunei
Falbere,
Drivals,Indonesia
Ido,Indonesia
SteveFaux,
Octara Pribadi,Indonesia
Zaga,
HensonC,
SongXD,
Darmawan,Indonesia
Erufan,Indonesia
Naruto,Indonesia
